pages,document,field,kind,expected,actual,match,note
6,Emerald Docs Demo Ltd,invoice_date,hard,2026-07-15,2026-07-15,True,
6,Emerald Docs Demo Ltd,due_date,hard,2026-08-14,2026-08-14,True,
6,Emerald Docs Demo Ltd,currency,hard,EUR,EUR,True,
6,Emerald Docs Demo Ltd,net_total,hard,420.0,420,True,
6,Emerald Docs Demo Ltd,vat_rate_percent,hard,23.0,23,True,
6,Emerald Docs Demo Ltd,vat_amount,hard,96.6,96.6,True,
6,Emerald Docs Demo Ltd,gross_total,hard,516.6,516.6,True,
6,Emerald Docs Demo Ltd,suggested_expense_category,soft,Professional services,Professional services,True,
7,Demo Analytics Inc.,doc_type,hard,invoice,invoice,True,
7,Demo Analytics Inc.,vendor_name,hard,Demo Analytics Inc.,Demo Analytics Inc.,True,
7,Demo Analytics Inc.,invoice_number,hard,DA-10077,DA-10077,True,
7,Demo Analytics Inc.,invoice_date,hard,2026-07-20,2026-07-20,True,
7,Demo Analytics Inc.,due_date,hard,,,True,both empty
7,Demo Analytics Inc.,currency,hard,USD,USD,True,
7,Demo Analytics Inc.,net_total,hard,850.0,850,True,
7,Demo Analytics Inc.,vat_rate_percent,hard,0.0,0,True,
7,Demo Analytics Inc.,vat_amount,hard,0.0,0,True,
7,Demo Analytics Inc.,gross_total,hard,850.0,850,True,
7,Demo Analytics Inc.,suggested_expense_category,soft,Professional services,Professional services,True,
8,Demo Software B.V.,doc_type,hard,invoice,invoice,True,
8,Demo Software B.V.,vendor_name,hard,Demo Software B.V.,Demo Software B.V.,True,
8,Demo Software B.V.,invoice_number,hard,DS-2026-2201,DS-2026-2201,True,
8,Demo Software B.V.,invoice_date,hard,2026-07-17,2026-07-17,True,
8,Demo Software B.V.,due_date,hard,2026-07-31,2026-07-31,True,
8,Demo Software B.V.,currency,hard,EUR,EUR,True,
8,Demo Software B.V.,net_total,hard,275.0,275,True,
8,Demo Software B.V.,vat_rate_percent,hard,0.0,0,True,
8,Demo Software B.V.,vat_amount,hard,0.0,0,True,
8,Demo Software B.V.,gross_total,hard,275.0,275,True,
8,Demo Software B.V.,suggested_expense_category,soft,Software & IT,Software & IT,True,
9,Vilniaus Energija Demo AB,doc_type,hard,utility_bill,utility_bill,True,
9,Vilniaus Energija Demo AB,vendor_name,hard,Vilniaus Energija Demo AB,Vilniaus Energija Demo AB,True,
9,Vilniaus Energija Demo AB,invoice_number,hard,VE-2026-07-55821,VE-2026-07-55821,True,
9,Vilniaus Energija Demo AB,invoice_date,hard,2026-07-10,2026-07-10,True,
9,Vilniaus Energija Demo AB,due_date,hard,2026-07-25,2026-07-25,True,
9,Vilniaus Energija Demo AB,currency,hard,EUR,EUR,True,
9,Vilniaus Energija Demo AB,net_total,hard,333.43,333.43,True,
9,Vilniaus Energija Demo AB,vat_rate_percent,hard,9.0,9,True,
9,Vilniaus Energija Demo AB,vat_amount,hard,30.01,30.01,True,
9,Vilniaus Energija Demo AB,gross_total,hard,363.44,363.44,True,
9,Vilniaus Energija Demo AB,suggested_expense_category,soft,Utilities,Utilities,True,
10-11,Demo Bankas AB,doc_type,hard,bank_statement,bank_statement,True,
10-11,Demo Bankas AB,bank_name,hard,Demo Bankas AB,Demo Bankas AB,True,
10-11,Demo Bankas AB,period_from,hard,2026-07-01,2026-07-01,True,
10-11,Demo Bankas AB,period_to,hard,2026-07-21,2026-07-21,True,
10-11,Demo Bankas AB,opening_balance,hard,8412.77,8412.77,True,
10-11,Demo Bankas AB,closing_balance,hard,5381.24,5381.24,True,
10-11,Demo Bankas AB,transaction_count,hard,11,11,True,
12,Circle D Demo Degalinė,doc_type,hard,receipt,receipt,True,
12,Circle D Demo Degalinė,vendor_name,hard,Circle D Demo Degalinė,CIRCLE D DEMO DEGALINĖ,True,
12,Circle D Demo Degalinė,receipt_number,hard,88112,88112,True,
12,Circle D Demo Degalinė,date,hard,2026-07-16,2026-07-16,True,
12,Circle D Demo Degalinė,currency,hard,EUR,EUR,True,
12,Circle D Demo Degalinė,net_total,hard,51.36,51.36,True,
12,Circle D Demo Degalinė,vat_rate_percent,hard,21.0,21,True,
12,Circle D Demo Degalinė,vat_amount,hard,10.78,10.78,True,
12,Circle D Demo Degalinė,gross_total,hard,62.14,62.14,True,
12,Circle D Demo Degalinė,suggested_expense_category,soft,Other (vehicle fuel),Vehicle & fuel,False,
13,Senoji Trobelė Demo (UAB Demo Maistas),doc_type,hard,receipt,receipt,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),vendor_name,hard,Senoji Trobelė Demo (UAB Demo Maistas),Senoji Trobelė Demo,True,partial name match
13,Senoji Trobelė Demo (UAB Demo Maistas),receipt_number,hard,0417-2026,0417-2026,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),date,hard,2026-07-18,2026-07-18,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),currency,hard,EUR,EUR,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),net_total,hard,70.0,70,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),vat_rate_percent,hard,21.0,21,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),vat_amount,hard,14.7,14.7,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),gross_total,hard,84.7,84.7,True,
13,Senoji Trobelė Demo (UAB Demo Maistas),suggested_expense_category,soft,Meals & representation,Meals & representation,True,
14,Švaros Meistrai MB,doc_type,hard,invoice,invoice,True,
14,Švaros Meistrai MB,vendor_name,hard,Švaros Meistrai MB,Švaros Meistrai MB,True,
14,Švaros Meistrai MB,invoice_number,hard,SM 2026-118,SM 2026-118,True,
14,Švaros Meistrai MB,invoice_date,hard,2026-07-22,2026-07-22,True,
14,Švaros Meistrai MB,due_date,hard,2026-08-05,2026-08-05,True,
14,Švaros Meistrai MB,currency,hard,EUR,EUR,True,
14,Švaros Meistrai MB,net_total,hard,180.0,180,True,
14,Švaros Meistrai MB,vat_rate_percent,hard,21.0,21,True,
14,Švaros Meistrai MB,vat_amount,hard,37.8,37.8,True,
14,Švaros Meistrai MB,gross_total,hard,217.8,217.8,True,
14,Švaros Meistrai MB,suggested_expense_category,soft,Professional services,Other,False,
